ID,Site,Length,Width,Thickness,Other typologies,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Bow,Area,Long base,Short base,Campaign,Layer,Colour,Distal side length,Proximal side length,Date,Date BP,Calibrated date,Sd Date BP,Direction bow,Direction short base,Direction distal side,Direction proximal side,Excavated by,Extension bow,Extension short base,Extension distal side,Extension proximal side,Phase,Reliability,Broad Shape,Type Fortea,Type García-Puchol,Type Juan-Cabanilles,Original museum ID,Location museum ID,Inclination bow,Inclination short base,Inclination distal side,Inclination proximal side,Shape Proximal,Reliability proximal,Shape distal,Reliability distal,Shape short base,Reliability short base,Shape bow,Reliability bow,Raw material,Microburin,Archaeological level,Comments,Outline vertex,Orientation,Grid,Residual retouch,Sector,Symmetry,Sub-grid,Location,X,Y,Z,Vertex,X_geo,Y_geo,Z_geo
1,Cueva de la Cocina,1.74,0.87,0.3,,60.34,31.64,123.99,144.03,0,0,0.95,2.2,0.34,1942,1,Gris oscur,1.63,0.96,6/7/2017,,,,No escau,Inexistent,Directa,Directa,Pericot,No escau,Inexistent,Continu,Continu,,90.36,Trapezi,G3. Trapecio asimétrico,TRa 9.1.2 Trapecio asimétrico,G6. Trapecio asimétrico,1129,120369,No escau,Inexistent,Abrupte,Abrupte,Rectilini,Complet,Recte regular,Incomplet,Rectilini,Complet,No escau,No escau,Sílex,No,,,Triangular,Esquerra,,No,RSE,No,,SIP,,,,Taprezoidal,,,
2,Cueva de la Cocina,1.71,0.75,0.24,,31.01,34.83,146.42,147.73,0,0,0.77,2.26,0.29,1942,1,Gris,1.1,1.24,13/7/2017,,,,No escau,Inexistent,Directa,Directa,Pericot,No escau,Inexistent,Continu,Continu,,91.66,Trapezi,G3. Trapecio asimétrico,TRa 9.1.2 Trapecio asimétrico,G6. Trapecio asimétrico,1130,120369,No escau,Inexistent,Abrupte,Abrupte,Rectilini,Incomplet,Convex suau,Incomplet,Rectilini,Complet,No escau,No escau,Sílex,No,,Una part de la proximal està trencada,Triangular,Esquerra,,No,RSE,No,,SIP,,,,Taprezoidal,,,
3,Cueva de la Cocina,1.77,0.77,0.14,,37.18,59.81,143.19,119.82,0,0,0.78,1.77,0.6,1942,1,Gris clar,0.72,1.01,13/7/2017,,,,No escau,Directa,Directa,Directa,Pericot,No escau,Continu,Continu,Continu,,100,Trapezi,G8. Trapecio con la base pequeña retocada,TRa 9.1.7 Trapecio con la base pequeña retocada,G17. Trapecio con la base pequeña retocada,1128,120369,No escau,Abrupte/Simple,Abrupte,Abrupte,Rectilini,Complet,Convex suau,Complet,Convex,Complet,No escau,No escau,Sílex,No,,,Triangular,Dreta,,Si,RSE,No,,SIP,,,,Taprezoidal,,,
4,Cueva de la Cocina,2.12,0.63,0.25,,29.79,28.21,147.86,154.15,0,0,0.83,2.36,0.37,1942,1,Gris clar,1.15,1.12,13/7/2017,,,,No escau,Directa,Directa,Directa,Pericot,No escau,Continu,Continu,Continu,,97.24,Trapezi,G8. Trapecio con la base pequeña retocada,TRa 9.1.7 Trapecio con la base pequeña retocada,G17. Trapecio con la base pequeña retocada,1126,120369,No escau,Abrupte,Abrupte,Abrupte,Rectilini,Incomplet,Recte regular,Complet,Rectilini,Complet,No escau,No escau,Sílex,No,,,Triangular,Esquerra,,No,RSE,Sí,,SIP,,,,Taprezoidal,,,
5,Cueva de la Cocina,1.86,0.7,0.24,,49.04,29.14,0,0,101.81,0,0.81,1.85,0,1942,1,Ocre,1.43,0.92,13/7/2017,,,,No escau,No escau,Directa,Directa,Pericot,No escau,No escau,Continu,Continu,,100,Triangle,G14. Triángulo escaleno con el lado pequeño convexo,Ta 9.3.5 Triángulo escaleno con el lado pequeño convexo,G3. Triángulo de retoque abrupto,1126,120369,No escau,No escau,Abrupte,Abrupte,Convex,Complet,Convex suau,Complet,No escau,No escau,No escau,No escau,Sílex,No,,"- Els retocs de la base major pareixen d'ús- Les tipologia G14 de Fortea i Ta.9.3.5 de García Puchol ací són sensu lato, perquè el costat llarg també és convexe.",Triangular,Esquerra,,Si,RSE,No,,SIP,,,,Si,,,
6,Cueva de la Cocina,1.99,0.59,0.22,,35.83,39.11,0,0,0,2.76,0.76,2.47,0,1942,1,Gris clar,1.45,1.24,18/7/2017,,,,No escau,Directa,Directa,Directa,Pericot,No escau,Part trencada,Part trencada,Part trencada,,84.9,Segment,G1. Segmento o media luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,1116,120369,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Recte,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex,No,,,Trapezoïdal,Dreta,,No,RSE,No,,SIP,,,,Segmentoide,,,
7,Cueva de la Cocina,1.86,0.59,0.18,,52.68,34.63,0,0,0,2.23,0.7,1.89,0,1942,1,Ocre,1.09,1.04,18/7/2017,,,,No escau,Directa,Directa,Directa,Pericot,No escau,Continu,Continu,Continu,,100,Segment,G1. Segmento o media luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,1116,120369,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Convex,No escau,Convex,No escau,Centrat suau,Complet,Sílex,No,,,Segmentoïde,Esquerra,,No,RSE,No,,SIP,,,,Segmentoide,,,
8,Cueva de la Cocina,1.96,0.59,0.27,,34.57,30.64,141.75,153.04,0,0,0.83,2.33,0.64,1942,1,Gris,1.02,0.99,18/7/2017,,,,No escau,Inexistent,Directa,Directa,Pericot,No escau,Inexistent,Continu,Continu,,96.4,Trapezi,G5. Trapecio con un lado cóncavo,TRa 9.1.4 Trapecio con un lado cóncavo,G8. Trapecio con lado(s) cóncavo(s),1131,120369,No escau,Inexistent,Abrupte/Simple,Abrupte,Rectilini,Incomplet,Recte regular,Incomplet,Rectilini,Complet,No escau,No escau,Sílex,No,,- El retoc del costat distal és molt marginal (jo el pose com a retoc perquè ho diu Ximo...),Trapezoïdal,Esquerra,,No,RSE,No,,SIP,,,,Taprezoidal,,,
9,Cueva de la Cocina,2.18,0.45,0.22,,27.81,29.56,0,0,0,2.86,0.68,2.65,0,1942,1,Gris,1.34,1.46,18/7/2017,,,,No escau,Directa,Directa,Directa,Pericot,No escau,Continu,Continu,Continu,,95.75,Segment,G1. Segmento o media luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,1116,120369,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Convex pronunciat,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex,No,,,Trapezoïdal,Esquerra,,Si,RSE,Sí,,SIP,,,,Segmentoide,,,
10,Cueva de la Cocina,2.29,0.54,0.28,,31.26,43.54,0,0,0,2.55,0.89,2.31,0,1942,1,Blanc,1.16,1.3,18/7/2017,,,,No escau,Directa,Directa,Directa,Pericot,No escau,Continu,Continu,Continu,,100,Segment,G1. Segmento o media luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,1116,120369,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Convex,No escau,Convex,No escau,Centrat suau,Complet,Sílex,No,,,Segmentoïde,Dreta,,No,RSE,No,,SIP,,,,Segmentoide,,,
