"","X","ID","Site","Reliability","Type.Fortea"
"26",26,114,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"45",45,120,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"81",81,261,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"10",10,328,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"52",52,346,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"63",63,491,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"53",53,541,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"96",96,544,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"36",36,545,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"78",78,600,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"24",24,601,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"90",90,603,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"79",79,630,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"95",95,632,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"12",12,697,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"32",32,718,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"5",5,869,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"11",11,871,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"22",22,915,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"80",80,1103,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"51",51,1112,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"61",61,1115,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"1",1,1130,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"25",25,1175,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"58",58,1225,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"54",54,1312,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"76",76,1320,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"60",60,1321,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"67",67,1355,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"28",28,1356,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"66",66,1408,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"88",88,1459,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"93",93,1464,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"2",2,1525,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"19",19,1532,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
"14",14,1535,"Cueva de la Cocina",100,"G18. Triángulo con dos lados cóncavos (tipo Cocina)"
